numPlayed,heuristicList,remainingTime
3,11.0;7.0;7.0;7.0,175.0;316.66666666666663;516.6666666666667
2,10.0;7.0;7.0,233.33333333333337;433.33333333333337
2,9.0;7.0;7.0,350.0;666.6666666666667
2,9.0;7.0;7.0,350.0;666.6666666666667
2,10.0;7.0;7.0,233.33333333333337;433.33333333333337
2,10.0;7.0;7.0,233.33333333333337;433.33333333333337
2,9.0;7.0;7.0,350.0;666.6666666666667
2,9.0;7.0;7.0,350.0;666.6666666666667
2,9.0;7.0;7.0,350.0;666.6666666666667
2,9.0;7.0;7.0,350.0;666.6666666666667
2,9.0;7.0;2.147483647E9,350.0;999800.0
2,10.0;7.0;7.0,233.33333333333337;433.33333333333337
1,8.0;7.0,700.0
1,10.0;8.0,400.0
1,9.0;7.0,350.0
1,9.0;8.0,800.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,9.0;8.0,800.0
1,8.0;7.0,700.0
1,10.0;8.0,400.0
1,10.0;8.0,400.0
1,8.0;7.0,700.0
1,7.0;7.0,999900.0
1,9.0;7.0,350.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,9.0;8.0,800.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,9.0;8.0,800.0
1,10.0;8.0,400.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,7.0;7.0,999900.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,9.0;7.0,350.0
1,8.0;7.0,700.0
1,7.0;7.0,999900.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,9.0;7.0,350.0
1,7.0;7.0,999900.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,9.0;7.0,350.0
1,7.0;7.0,999900.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,7.0;7.0,999900.0
1,7.0;6.0,600.0
1,9.0;8.0,800.0
1,7.0;7.0,999900.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,7.0;7.0,999900.0
1,10.0;8.0,400.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,7.0;7.0,999900.0
1,7.0;7.0,999900.0
1,7.0;7.0,999900.0
1,8.0;7.0,700.0
1,9.0;7.0,350.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,9.0;7.0,350.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,7.0;7.0,999900.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
