numPlayed,heuristicList,remainingTime
19,17.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;2.147483647E9,160.0;316.66666666666663;526.6666666666666;789.9999999999999;1106.6666666666667;1476.6666666666667;1900.0000000000002;2376.6666666666665;2906.666666666667;3490.0;4126.666666666666;4816.666666666666;5560.000000000001;6356.666666666667;7206.666666666666;8109.999999999996;9066.666666666668;10076.666666666668;999810.0
18,17.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0,160.0;316.66666666666663;526.6666666666666;789.9999999999999;1106.6666666666667;1476.6666666666667;1900.0000000000002;2376.6666666666665;2906.666666666667;3490.0;4126.666666666666;4816.666666666666;5560.000000000001;6356.666666666667;7206.666666666666;8109.999999999996;9066.666666666668;10076.666666666668
18,17.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0,160.0;316.66666666666663;526.6666666666666;789.9999999999999;1106.6666666666667;1476.6666666666667;1900.0000000000002;2376.6666666666665;2906.666666666667;3490.0;4126.666666666666;4816.666666666666;5560.000000000001;6356.666666666667;7206.666666666666;8109.999999999996;9066.666666666668;10076.666666666668
18,17.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0,160.0;316.66666666666663;526.6666666666666;789.9999999999999;1106.6666666666667;1476.6666666666667;1900.0000000000002;2376.6666666666665;2906.666666666667;3490.0;4126.666666666666;4816.666666666666;5560.000000000001;6356.666666666667;7206.666666666666;8109.999999999996;9066.666666666668;10076.666666666668
18,17.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0,160.0;316.66666666666663;526.6666666666666;789.9999999999999;1106.6666666666667;1476.6666666666667;1900.0000000000002;2376.6666666666665;2906.666666666667;3490.0;4126.666666666666;4816.666666666666;5560.000000000001;6356.666666666667;7206.666666666666;8109.999999999996;9066.666666666668;10076.666666666668
18,17.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0,160.0;316.66666666666663;526.6666666666666;789.9999999999999;1106.6666666666667;1476.6666666666667;1900.0000000000002;2376.6666666666665;2906.666666666667;3490.0;4126.666666666666;4816.666666666666;5560.000000000001;6356.666666666667;7206.666666666666;8109.999999999996;9066.666666666668;10076.666666666668
18,17.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0,160.0;316.66666666666663;526.6666666666666;789.9999999999999;1106.6666666666667;1476.6666666666667;1900.0000000000002;2376.6666666666665;2906.666666666667;3490.0;4126.666666666666;4816.666666666666;5560.000000000001;6356.666666666667;7206.666666666666;8109.999999999996;9066.666666666668;10076.666666666668
18,17.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0,160.0;316.66666666666663;526.6666666666666;789.9999999999999;1106.6666666666667;1476.6666666666667;1900.0000000000002;2376.6666666666665;2906.666666666667;3490.0;4126.666666666666;4816.666666666666;5560.000000000001;6356.666666666667;7206.666666666666;8109.999999999996;9066.666666666668;10076.666666666668
18,17.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0,160.0;316.66666666666663;526.6666666666666;789.9999999999999;1106.6666666666667;1476.6666666666667;1900.0000000000002;2376.6666666666665;2906.666666666667;3490.0;4126.666666666666;4816.666666666666;5560.000000000001;6356.666666666667;7206.666666666666;8109.999999999996;9066.666666666668;10076.666666666668
18,17.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0,160.0;316.66666666666663;526.6666666666666;789.9999999999999;1106.6666666666667;1476.6666666666667;1900.0000000000002;2376.6666666666665;2906.666666666667;3490.0;4126.666666666666;4816.666666666666;5560.000000000001;6356.666666666667;7206.666666666666;8109.999999999996;9066.666666666668;10076.666666666668
1,16.0;16.0,999990.0
